               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              2.1245,              2.0145,               1.799,             0.25482,             0.17816,             0.16178,            0.089404,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.1229,              1.9872,              1.8086,             0.20675,             0.18287,             0.16165,            0.092343,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              2.1169,              1.9593,              1.8071,             0.20797,             0.18594,              0.1399,            0.073685,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              2.0454,              1.8412,              1.7291,             0.22681,             0.17484,             0.15062,            0.079099,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.0633,               1.861,              1.7849,             0.18632,             0.18412,             0.14652,            0.079751,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,               2.027,              1.8598,              1.7426,             0.21876,             0.16327,             0.14181,            0.076063,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              2.0625,              1.8166,              1.7527,              0.2118,             0.16277,             0.13736,            0.074339,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              1.9689,              1.7413,              1.7008,             0.19151,             0.16888,              0.1349,            0.073572,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
                  48,              1.9697,              1.7185,              1.6925,             0.20793,             0.17408,             0.14568,            0.082956,                   0,                   0,                   0,            0.005347,            0.005347,            0.005347
                  49,              1.9636,              1.6936,              1.6978,             0.18137,             0.18405,              0.1513,            0.085815,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  50,              1.9649,              1.6752,              1.6704,              0.2166,             0.17061,             0.15664,            0.090043,                   0,                   0,                   0,            0.005149,            0.005149,            0.005149
                  51,              1.9248,              1.6158,              1.6596,             0.25392,             0.16793,             0.16099,            0.096277,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  52,              1.9121,              1.5943,              1.6593,             0.21743,             0.19223,             0.14659,            0.084122,                   0,                   0,                   0,            0.004951,            0.004951,            0.004951
                  53,               1.899,               1.591,              1.6555,             0.20009,              0.1896,             0.14221,            0.075436,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  54,              1.9103,              1.5512,              1.6312,             0.27963,             0.20949,             0.15745,            0.094445,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                  55,              1.8547,              1.5004,              1.6218,             0.31427,             0.15655,             0.15652,            0.089993,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                  56,              1.8206,              1.4636,              1.5955,             0.23843,             0.15913,             0.13845,            0.073505,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                  57,              1.8154,              1.4614,              1.5855,             0.19339,             0.20306,             0.14087,            0.077411,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
